,Sample_ID,Year,Country,Continent,Beta.lactamase,Azithromycin,Ciprofloxacin,Ceftriaxone,Cefixime,Tetracycline,Penicillin,NG_MAST,Group,azm_mic,cip_mic,cro_mic,cfx_mic,tet_mic,pen_mic,log2_azm_mic,log2_cip_mic,log2_cro_mic,log2_cfx_mic,log2_tet_mic,log2_pen_mic,azm_sr,cip_sr,cro_sr,cfx_sr,tet_sr,pen_sr
3564,SRR5827395,2015.0,New_Zealand,Oceania,0,0.12,0.004,0.004,0.008,0.12,0.25,4186,847,0.12,0.004,0.004,0.008,0.12,0.25,-3.058893689,-7.965784285,-7.965784285,-6.965784285,-3.058893689,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
3565,SRR5827088,2015.0,New_Zealand,Oceania,0,0.25,8,0.03,0.03,2,1,2400,186,0.25,8.0,0.03,0.03,2.0,1.0,-2.0,3.0,-5.058893689,-5.058893689,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3566,SRR5827405,2015.0,New_Zealand,Oceania,0,0.25,0.002,0.008,0.016,0.5,0.25,9368,994,0.25,0.002,0.008,0.016,0.5,0.25,-2.0,-8.965784285,-6.965784285,-5.965784285,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
3567,SRR5827190,2015.0,New_Zealand,Oceania,0,0.06,0.002,0.004,0.004,0.12,0.5,-,1,0.06,0.002,0.004,0.004,0.12,0.5,-4.058893689,-8.965784285,-7.965784285,-7.965784285,-3.058893689,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
3568,SRR5827191,2015.0,New_Zealand,Oceania,0,0.5,4,0.016,0.016,1,1,10193,1018,0.5,4.0,0.016,0.016,1.0,1.0,-1.0,2.0,-5.965784285,-5.965784285,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3569,SRR5827192,2015.0,New_Zealand,Oceania,0,0.25,0.008,0.016,0.016,2,2,-,1,0.25,0.008,0.016,0.016,2.0,2.0,-2.0,-6.965784285,-5.965784285,-5.965784285,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
3570,SRR5827193,2015.0,New_Zealand,Oceania,0,0.12,0.004,0.004,0.008,0.5,0.5,-,1,0.12,0.004,0.004,0.008,0.5,0.5,-3.058893689,-7.965784285,-7.965784285,-6.965784285,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
3571,SRR5827194,2015.0,New_Zealand,Oceania,0,0.03,0.002,0.002,0.004,0.12,0.06,-,1,0.03,0.002,0.002,0.004,0.12,0.06,-5.058893689,-8.965784285,-8.965784285,-7.965784285,-3.058893689,-4.058893689,0.0,0.0,0.0,0.0,0.0,0.0
3572,SRR5827195,2015.0,New_Zealand,Oceania,1,0.06,4,0.004,0.004,16,16,-,1,0.06,4.0,0.004,0.004,16.0,16.0,-4.058893689,2.0,-7.965784285,-7.965784285,4.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0
3573,SRR5827196,2015.0,New_Zealand,Oceania,0,0.12,4,0.008,0.008,0.5,0.5,-,1,0.12,4.0,0.008,0.008,0.5,0.5,-3.058893689,2.0,-6.965784285,-6.965784285,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
3574,SRR5827197,2015.0,New_Zealand,Oceania,0,0.06,0.002,0.002,0.004,0.12,0.25,-,1,0.06,0.002,0.002,0.004,0.12,0.25,-4.058893689,-8.965784285,-8.965784285,-7.965784285,-3.058893689,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
3575,SRR5827188,2015.0,New_Zealand,Oceania,0,0.25,2,0.004,0.008,0.5,0.5,5624,339,0.25,2.0,0.004,0.008,0.5,0.5,-2.0,1.0,-7.965784285,-6.965784285,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
3576,SRR5827189,2015.0,New_Zealand,Oceania,0,0.5,4,0.03,0.016,1,2,10193,1018,0.5,4.0,0.03,0.016,1.0,2.0,-1.0,2.0,-5.058893689,-5.965784285,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
3577,SRR5827321,2015.0,New_Zealand,Oceania,0,0.25,8,0.12,0.06,2,4,8883,1055,0.25,8.0,0.12,0.06,2.0,4.0,-2.0,3.0,-3.058893689,-4.058893689,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0
3578,SRR5827320,2015.0,New_Zealand,Oceania,0,0.12,8,0.016,0.03,1,1,2400,186,0.12,8.0,0.016,0.03,1.0,1.0,-3.058893689,3.0,-5.965784285,-5.058893689,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3579,SRR5827319,2015.0,New_Zealand,Oceania,0,0.03,0.002,0.004,0.004,16,0.25,9650,1057,0.03,0.002,0.004,0.004,16.0,0.25,-5.058893689,-8.965784285,-7.965784285,-7.965784285,4.0,-2.0,0.0,0.0,0.0,0.0,1.0,0.0
3580,SRR5827318,2015.0,New_Zealand,Oceania,0,0.12,8,0.03,0.06,1,2,-,1,0.12,8.0,0.03,0.06,1.0,2.0,-3.058893689,3.0,-5.058893689,-4.058893689,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
3581,SRR5827317,2015.0,New_Zealand,Oceania,0,0.12,0.002,0.004,0.008,0.5,0.5,11520,1023,0.12,0.002,0.004,0.008,0.5,0.5,-3.058893689,-8.965784285,-7.965784285,-6.965784285,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
3582,SRR5827316,2015.0,New_Zealand,Oceania,0,0.25,4,0.016,0.016,32,0.5,356,241,0.25,4.0,0.016,0.016,32.0,0.5,-2.0,2.0,-5.965784285,-5.965784285,5.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0
3583,SRR5827315,2015.0,New_Zealand,Oceania,0,0.25,0.004,0.004,0.008,0.5,1,10998,1020,0.25,0.004,0.004,0.008,0.5,1.0,-2.0,-7.965784285,-7.965784285,-6.965784285,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3584,SRR5827314,2015.0,New_Zealand,Oceania,0,0.5,4,0.016,0.016,1,2,10193,1018,0.5,4.0,0.016,0.016,1.0,2.0,-1.0,2.0,-5.965784285,-5.965784285,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
3585,SRR5827323,2015.0,New_Zealand,Oceania,0,0.5,0.004,0.004,0.008,0.5,0.5,4244,1044,0.5,0.004,0.004,0.008,0.5,0.5,-1.0,-7.965784285,-7.965784285,-6.965784285,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
3586,SRR5827322,2015.0,New_Zealand,Oceania,0,0.25,0.004,0.004,0.008,0.5,0.5,-,1,0.25,0.004,0.004,0.008,0.5,0.5,-2.0,-7.965784285,-7.965784285,-6.965784285,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
3587,SRR5827376,2015.0,New_Zealand,Oceania,0,0.06,4,0.008,0.008,0.5,0.5,2400,186,0.06,4.0,0.008,0.008,0.5,0.5,-4.058893689,2.0,-6.965784285,-6.965784285,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
3588,SRR5827375,2015.0,New_Zealand,Oceania,0,0.25,8,0.06,0.03,2,1,9368,994,0.25,8.0,0.06,0.03,2.0,1.0,-2.0,3.0,-4.058893689,-5.058893689,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3589,SRR5827378,2015.0,New_Zealand,Oceania,0,0.25,0.002,0.004,0.008,0.5,0.5,-,1,0.25,0.002,0.004,0.008,0.5,0.5,-2.0,-8.965784285,-7.965784285,-6.965784285,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
3590,SRR5827377,2015.0,New_Zealand,Oceania,0,0.03,2,0.06,0.004,16,0.25,-,1,0.03,2.0,0.06,0.004,16.0,0.25,-5.058893689,1.0,-4.058893689,-7.965784285,4.0,-2.0,0.0,1.0,0.0,0.0,1.0,0.0
3591,SRR5827380,2015.0,New_Zealand,Oceania,0,0.03,2,0.002,0.004,16,0.5,-,1,0.03,2.0,0.002,0.004,16.0,0.5,-5.058893689,1.0,-8.965784285,-7.965784285,4.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0
3592,SRR5827379,2015.0,New_Zealand,Oceania,0,0.12,0.004,0.004,0.008,0.12,0.25,9909,1010,0.12,0.004,0.004,0.008,0.12,0.25,-3.058893689,-7.965784285,-7.965784285,-6.965784285,-3.058893689,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
3593,SRR5827382,2015.0,New_Zealand,Oceania,0,0.03,0.002,0.002,0.004,8,0.12,9650,1057,0.03,0.002,0.002,0.004,8.0,0.12,-5.058893689,-8.965784285,-8.965784285,-7.965784285,3.0,-3.058893689,0.0,0.0,0.0,0.0,1.0,0.0
3594,SRR5827381,2015.0,New_Zealand,Oceania,1,0.25,2,0.004,0.008,0.5,16,9471,1078,0.25,2.0,0.004,0.008,0.5,16.0,-2.0,1.0,-7.965784285,-6.965784285,-1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0
3595,SRR5827374,2015.0,New_Zealand,Oceania,0,0.12,4,0.06,0.03,32,0.5,8901,1077,0.12,4.0,0.06,0.03,32.0,0.5,-3.058893689,2.0,-4.058893689,-5.058893689,5.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0
3596,SRR5827373,2015.0,New_Zealand,Oceania,0,0.03,2,0.004,0.004,8,0.5,-,1,0.03,2.0,0.004,0.004,8.0,0.5,-5.058893689,1.0,-7.965784285,-7.965784285,3.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0
3597,SRR5827267,2015.0,New_Zealand,Oceania,0,0.03,0.002,0.004,0.004,16,0.25,7753,1049,0.03,0.002,0.004,0.004,16.0,0.25,-5.058893689,-8.965784285,-7.965784285,-7.965784285,4.0,-2.0,0.0,0.0,0.0,0.0,1.0,0.0
3598,SRR5827268,2015.0,New_Zealand,Oceania,0,0.25,8,0.03,0.06,8,1,2400,186,0.25,8.0,0.03,0.06,8.0,1.0,-2.0,3.0,-5.058893689,-4.058893689,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3599,SRR5827265,2015.0,New_Zealand,Oceania,0,0.25,8,0.03,0.03,2,1,2400,186,0.25,8.0,0.03,0.03,2.0,1.0,-2.0,3.0,-5.058893689,-5.058893689,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3600,SRR5827266,2015.0,New_Zealand,Oceania,0,0.25,0.002,0.004,0.008,0.5,0.25,2992,206,0.25,0.002,0.004,0.008,0.5,0.25,-2.0,-8.965784285,-7.965784285,-6.965784285,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
3601,SRR5827271,2015.0,New_Zealand,Oceania,0,0.06,0.002,0.004,0.008,0.25,0.25,6950,1046,0.06,0.002,0.004,0.008,0.25,0.25,-4.058893689,-8.965784285,-7.965784285,-6.965784285,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
3602,SRR5827272,2015.0,New_Zealand,Oceania,0,0.06,0.002,0.004,0.008,16,0.25,7753,1049,0.06,0.002,0.004,0.008,16.0,0.25,-4.058893689,-8.965784285,-7.965784285,-6.965784285,4.0,-2.0,0.0,0.0,0.0,0.0,1.0,0.0
3603,SRR5827269,2015.0,New_Zealand,Oceania,0,0.25,4,0.03,0.03,1,2,12056,1066,0.25,4.0,0.03,0.03,1.0,2.0,-2.0,2.0,-5.058893689,-5.058893689,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
3604,SRR5827270,2015.0,New_Zealand,Oceania,0,0.12,8,0.03,0.03,1,1,2400,186,0.12,8.0,0.03,0.03,1.0,1.0,-3.058893689,3.0,-5.058893689,-5.058893689,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3605,SRR5827263,2015.0,New_Zealand,Oceania,0,0.25,0.002,0.004,0.008,0.5,0.25,9368,994,0.25,0.002,0.004,0.008,0.5,0.25,-2.0,-8.965784285,-7.965784285,-6.965784285,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
3606,SRR5827264,2015.0,New_Zealand,Oceania,0,0.12,0.004,0.004,0.008,0.12,0.25,4186,847,0.12,0.004,0.004,0.008,0.12,0.25,-3.058893689,-7.965784285,-7.965784285,-6.965784285,-3.058893689,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
3607,SRR5827146,2015.0,New_Zealand,Oceania,0,0.25,0.002,0.004,0.008,0.5,0.25,9368,994,0.25,0.002,0.004,0.008,0.5,0.25,-2.0,-8.965784285,-7.965784285,-6.965784285,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
3608,SRR5827145,2015.0,New_Zealand,Oceania,0,0.12,0.004,0.06,0.03,0.25,0.5,11867,1025,0.12,0.004,0.06,0.03,0.25,0.5,-3.058893689,-7.965784285,-4.058893689,-5.058893689,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
3609,SRR5827144,2015.0,New_Zealand,Oceania,0,0.06,0.002,0.002,0.004,16,0.25,-,1,0.06,0.002,0.002,0.004,16.0,0.25,-4.058893689,-8.965784285,-8.965784285,-7.965784285,4.0,-2.0,0.0,0.0,0.0,0.0,1.0,0.0
3610,SRR5827143,2015.0,New_Zealand,Oceania,0,0.12,0.004,0.004,0.008,0.12,0.25,4186,847,0.12,0.004,0.004,0.008,0.12,0.25,-3.058893689,-7.965784285,-7.965784285,-6.965784285,-3.058893689,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
3611,SRR5827142,2015.0,New_Zealand,Oceania,0,0.5,0.002,0.004,0.008,0.5,0.25,8709,1054,0.5,0.002,0.004,0.008,0.5,0.25,-1.0,-8.965784285,-7.965784285,-6.965784285,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
3612,SRR5827141,2015.0,New_Zealand,Oceania,0,0.25,8,0.03,0.12,2,2,5595,1045,0.25,8.0,0.03,0.12,2.0,2.0,-2.0,3.0,-5.058893689,-3.058893689,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
3613,SRR5827140,2015.0,New_Zealand,Oceania,0,0.12,0.004,0.004,0.008,0.5,0.5,11867,1025,0.12,0.004,0.004,0.008,0.5,0.5,-3.058893689,-7.965784285,-7.965784285,-6.965784285,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
3614,SRR5827139,2015.0,New_Zealand,Oceania,0,0.25,0.004,0.008,0.016,0.5,0.5,9166,1056,0.25,0.004,0.008,0.016,0.5,0.5,-2.0,-7.965784285,-6.965784285,-5.965784285,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
3615,SRR5827138,2015.0,New_Zealand,Oceania,0,0.03,0.004,0.004,0.008,0.12,0.12,4186,847,0.03,0.004,0.004,0.008,0.12,0.12,-5.058893689,-7.965784285,-7.965784285,-6.965784285,-3.058893689,-3.058893689,0.0,0.0,0.0,0.0,0.0,0.0
3616,SRR5827137,2015.0,New_Zealand,Oceania,0,0.12,0.002,0.008,0.016,0.12,0.25,-,1,0.12,0.002,0.008,0.016,0.12,0.25,-3.058893689,-8.965784285,-6.965784285,-5.965784285,-3.058893689,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
3617,SRR5827031,2015.0,New_Zealand,Oceania,0,0.25,4,0.03,0.03,1,1,2400,186,0.25,4.0,0.03,0.03,1.0,1.0,-2.0,2.0,-5.058893689,-5.058893689,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3618,SRR5827032,2015.0,New_Zealand,Oceania,0,0.12,4,0.03,0.06,1,0.5,-,1,0.12,4.0,0.03,0.06,1.0,0.5,-3.058893689,2.0,-5.058893689,-4.058893689,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
3619,SRR5827033,2015.0,New_Zealand,Oceania,0,0.25,4,0.03,0.03,2,0.5,2400,186,0.25,4.0,0.03,0.03,2.0,0.5,-2.0,2.0,-5.058893689,-5.058893689,1.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0
3620,SRR5827034,2015.0,New_Zealand,Oceania,0,0.25,4,0.016,0.016,2,0.5,2400,186,0.25,4.0,0.016,0.016,2.0,0.5,-2.0,2.0,-5.965784285,-5.965784285,1.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0
3621,SRR5827035,2015.0,New_Zealand,Oceania,0,0.25,0.004,0.008,0.008,0.12,0.25,4186,847,0.25,0.004,0.008,0.008,0.12,0.25,-2.0,-7.965784285,-6.965784285,-6.965784285,-3.058893689,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
3622,SRR5827036,2015.0,New_Zealand,Oceania,0,0.03,0.002,0.004,0.016,0.06,0.12,-,1,0.03,0.002,0.004,0.016,0.06,0.12,-5.058893689,-8.965784285,-7.965784285,-5.965784285,-4.058893689,-3.058893689,0.0,0.0,0.0,0.0,0.0,0.0
3623,SRR5827037,2015.0,New_Zealand,Oceania,0,0.25,0.004,0.008,0.016,1,0.5,-,1,0.25,0.004,0.008,0.016,1.0,0.5,-2.0,-7.965784285,-6.965784285,-5.965784285,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
3624,SRR5827038,2015.0,New_Zealand,Oceania,0,0.25,0.002,0.008,0.016,0.5,0.25,9368,994,0.25,0.002,0.008,0.016,0.5,0.25,-2.0,-8.965784285,-6.965784285,-5.965784285,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
3625,SRR5827039,2015.0,New_Zealand,Oceania,0,0.25,4,0.03,0.03,1,0.5,2400,186,0.25,4.0,0.03,0.03,1.0,0.5,-2.0,2.0,-5.058893689,-5.058893689,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
