,Sample_ID,Year,Country,Continent,Beta.lactamase,Azithromycin,Ciprofloxacin,Ceftriaxone,Cefixime,Tetracycline,Penicillin,NG_MAST,Group,azm_mic,cip_mic,cro_mic,cfx_mic,tet_mic,pen_mic,log2_azm_mic,log2_cip_mic,log2_cro_mic,log2_cfx_mic,log2_tet_mic,log2_pen_mic,azm_sr,cip_sr,cro_sr,cfx_sr,tet_sr,pen_sr
506,16853_3#57,2013.0,Slovakia,Europe,,,24,0.023,0.016,,,5333,566,,24.0,0.023,0.016,,,,4.584962501,-5.442222329,-5.965784285,,,,1.0,0.0,0.0,,
507,16853_3#58,2013.0,Slovakia,Europe,,,<0.002,0.008,0.016,,,359,243,,0.001,0.008,0.016,,,,-9.965784285,-6.965784285,-5.965784285,,,,0.0,0.0,0.0,,
508,16853_3#59,2013.0,Slovakia,Europe,,,,0.016,0.047,,,359,243,,,0.016,0.047,,,,,-5.965784285,-4.411195433,,,,,0.0,0.0,,
509,16853_3#6,2013.0,Austria,Europe,,0.5,,0.094,0.125,,,11583,518,0.5,,0.094,0.125,,,-1.0,,-3.411195433,-3.0,,,0.0,,0.0,0.0,,
510,16853_3#60,2013.0,Slovakia,Europe,,,,0.016,0.023,,,359,243,,,0.016,0.023,,,,,-5.965784285,-5.442222329,,,,,0.0,0.0,,
511,16853_3#61,2013.0,Slovakia,Europe,,,,0.008,0.016,,,2992,206,,,0.008,0.016,,,,,-6.965784285,-5.965784285,,,,,0.0,0.0,,
512,16853_3#62,2013.0,Slovakia,Europe,,,,0.032,0.094,,,11040,491,,,0.032,0.094,,,,,-4.965784285,-3.411195433,,,,,0.0,0.0,,
513,16853_3#64,2013.0,Slovakia,Europe,,,,0.006,0.016,,,2992,206,,,0.006,0.016,,,,,-7.380821784,-5.965784285,,,,,0.0,0.0,,
514,16853_3#66,2013.0,Slovakia,Europe,,,,0.016,0.032,,,359,243,,,0.016,0.032,,,,,-5.965784285,-4.965784285,,,,,0.0,0.0,,
515,16853_3#67,2013.0,Slovakia,Europe,,,,0.023,0.064,,,1407,127,,,0.023,0.064,,,,,-5.442222329,-3.965784285,,,,,0.0,0.0,,
516,16853_3#68,2013.0,Slovakia,Europe,,0.5,,0.032,0.047,,,11041,492,0.5,,0.032,0.047,,,-1.0,,-4.965784285,-4.411195433,,,0.0,,0.0,0.0,,
517,16853_3#69,2013.0,Slovakia,Europe,,0.5,,0.064,0.064,,,1407,127,0.5,,0.064,0.064,,,-1.0,,-3.965784285,-3.965784285,,,0.0,,0.0,0.0,,
518,16853_3#70,2013.0,Slovakia,Europe,,,,0.012,0.032,,,11042,493,,,0.012,0.032,,,,,-6.380821784,-4.965784285,,,,,0.0,0.0,,
519,16853_3#71,2013.0,Slovakia,Europe,,,,0.012,0.023,,,11042,493,,,0.012,0.023,,,,,-6.380821784,-5.442222329,,,,,0.0,0.0,,
520,16853_3#72,2013.0,Slovakia,Europe,,0.5,,0.032,0.016,,,11043,494,0.5,,0.032,0.016,,,-1.0,,-4.965784285,-5.965784285,,,0.0,,0.0,0.0,,
521,16853_3#81,2013.0,Slovakia,Europe,,,,0.012,0.023,,,10800,474,,,0.012,0.023,,,,,-6.380821784,-5.442222329,,,,,0.0,0.0,,
522,16853_3#82,2013.0,Slovakia,Europe,,,,0.003,0.016,,,807,412,,,0.003,0.016,,,,,-8.380821784,-5.965784285,,,,,0.0,0.0,,
523,16853_3#83,2013.0,Slovakia,Europe,,,,0.047,0.094,,,2212,177,,,0.047,0.094,,,,,-4.411195433,-3.411195433,,,,,0.0,0.0,,
524,16853_3#84,2013.0,Slovakia,Europe,,,,0.047,0.19,,,10557,457,,,0.047,0.19,,,,,-4.411195433,-2.395928676,,,,,0.0,0.0,,
525,16853_3#85,2013.0,Slovakia,Europe,,,,0.016,0.023,,,11044,495,,,0.016,0.023,,,,,-5.965784285,-5.442222329,,,,,0.0,0.0,,
526,16853_3#86,2013.0,Slovakia,Europe,,,,0.008,0.016,,,10800,474,,,0.008,0.016,,,,,-6.965784285,-5.965784285,,,,,0.0,0.0,,
527,16853_3#87,2013.0,Slovakia,Europe,,,,0.016,0.023,,,10800,474,,,0.016,0.023,,,,,-5.965784285,-5.442222329,,,,,0.0,0.0,,
528,16853_4#1,2013.0,Norway,Europe,,,,0.016,0.047,,,1407,127,,,0.016,0.047,,,,,-5.965784285,-4.411195433,,,,,0.0,0.0,,
529,16853_4#10,2013.0,Norway,Europe,,,,0.012,0.032,,,359,243,,,0.012,0.032,,,,,-6.380821784,-4.965784285,,,,,0.0,0.0,,
530,16853_4#11,2013.0,Norway,Europe,,,,0.008,0.016,,,4995,559,,,0.008,0.016,,,,,-6.965784285,-5.965784285,,,,,0.0,0.0,,
531,16853_4#12,2013.0,Norway,Europe,,,,0.032,0.032,,,2400,186,,,0.032,0.032,,,,,-4.965784285,-4.965784285,,,,,0.0,0.0,,
532,16853_4#13,2013.0,Norway,Europe,,,,0.006,0.016,,,10790,465,,,0.006,0.016,,,,,-7.380821784,-5.965784285,,,,,0.0,0.0,,
533,16853_4#14,2013.0,Norway,Europe,,,,0.032,0.047,,,6360,578,,,0.032,0.047,,,,,-4.965784285,-4.411195433,,,,,0.0,0.0,,
534,16853_4#15,2013.0,Norway,Europe,,,,0.032,0.047,,,2400,186,,,0.032,0.047,,,,,-4.965784285,-4.411195433,,,,,0.0,0.0,,
535,16853_4#16,2013.0,Norway,Europe,,,,0.012,0.016,,,10791,466,,,0.012,0.016,,,,,-6.380821784,-5.965784285,,,,,0.0,0.0,,
536,16853_4#17,2013.0,Norway,Europe,,,,0.004,0.016,,,8058,605,,,0.004,0.016,,,,,-7.965784285,-5.965784285,,,,,0.0,0.0,,
537,16853_4#18,2013.0,Norway,Europe,,,,0.016,0.016,,,10992,482,,,0.016,0.016,,,,,-5.965784285,-5.965784285,,,,,0.0,0.0,,
538,16853_4#19,2013.0,Norway,Europe,,,,0.006,0.016,,,7164,589,,,0.006,0.016,,,,,-7.380821784,-5.965784285,,,,,0.0,0.0,,
539,16853_4#2,2013.0,Norway,Europe,,1,,0.064,0.125,,,4275,295,1.0,,0.064,0.125,,,0.0,,-3.965784285,-3.0,,,0.0,,0.0,0.0,,
540,16853_4#20,2013.0,Norway,Europe,,,,0.016,0.023,,,2400,186,,,0.016,0.023,,,,,-5.965784285,-5.442222329,,,,,0.0,0.0,,
541,16853_4#21,2013.0,Norway,Europe,,,,0.012,0.016,,,568,340,,,0.012,0.016,,,,,-6.380821784,-5.965784285,,,,,0.0,0.0,,
542,16853_4#22,2013.0,Norway,Europe,,,,0.012,0.016,,,298,541,,,0.012,0.016,,,,,-6.380821784,-5.965784285,,,,,0.0,0.0,,
543,16853_4#23,2013.0,Norway,Europe,,,,0.006,0.016,,,10419,456,,,0.006,0.016,,,,,-7.380821784,-5.965784285,,,,,0.0,0.0,,
544,16853_4#24,2013.0,Norway,Europe,,,,0.008,0.016,,,8426,616,,,0.008,0.016,,,,,-6.965784285,-5.965784285,,,,,0.0,0.0,,
545,16853_4#25,2013.0,Norway,Europe,,,,0.008,0.016,,,5785,574,,,0.008,0.016,,,,,-6.965784285,-5.965784285,,,,,0.0,0.0,,
546,16853_4#26,2013.0,Norway,Europe,,,,0.002,0.016,,,10792,467,,,0.002,0.016,,,,,-8.965784285,-5.965784285,,,,,0.0,0.0,,
547,16853_4#27,2013.0,Norway,Europe,,0.5,,0.006,0.016,,,10793,468,0.5,,0.006,0.016,,,-1.0,,-7.380821784,-5.965784285,,,0.0,,0.0,0.0,,
548,16853_4#28,2013.0,Norway,Europe,,,,0.064,0.125,,,4275,295,,,0.064,0.125,,,,,-3.965784285,-3.0,,,,,0.0,0.0,,
549,16853_4#29,2013.0,Norway,Europe,,,,0.002,0.016,,,10794,469,,,0.002,0.016,,,,,-8.965784285,-5.965784285,,,,,0.0,0.0,,
550,16853_4#3,2013.0,Norway,Europe,,4,,0.004,0.016,,,2992,206,4.0,,0.004,0.016,,,2.0,,-7.965784285,-5.965784285,,,1.0,,0.0,0.0,,
551,16853_4#31,2013.0,Norway,Europe,,,,0.006,0.016,,,1498,529,,,0.006,0.016,,,,,-7.380821784,-5.965784285,,,,,0.0,0.0,,
552,16853_4#32,2013.0,Norway,Europe,,,,0.047,0.064,,,4275,295,,,0.047,0.064,,,,,-4.411195433,-3.965784285,,,,,0.0,0.0,,
553,16853_4#33,2013.0,Norway,Europe,,,,0.047,0.19,,,7072,587,,,0.047,0.19,,,,,-4.411195433,-2.395928676,,,,,0.0,0.0,,
554,16853_4#34,2013.0,Norway,Europe,,,,0.004,0.016,,,2992,206,,,0.004,0.016,,,,,-7.965784285,-5.965784285,,,,,0.0,0.0,,
555,16853_4#35,2013.0,Norway,Europe,,0.38,,0.047,0.047,,,225,179,0.38,,0.047,0.047,,,-1.395928676,,-4.411195433,-4.411195433,,,0.0,,0.0,0.0,,
556,16853_4#36,2013.0,Norway,Europe,,,,0.032,0.032,,,6360,578,,,0.032,0.032,,,,,-4.965784285,-4.965784285,,,,,0.0,0.0,,
557,16853_4#37,2013.0,Norway,Europe,,,,0.008,0.016,,,11359,511,,,0.008,0.016,,,,,-6.965784285,-5.965784285,,,,,0.0,0.0,,
558,16853_4#38,2013.0,Norway,Europe,,,,0.002,0.016,,,190,534,,,0.002,0.016,,,,,-8.965784285,-5.965784285,,,,,0.0,0.0,,
559,16853_4#39,2013.0,Norway,Europe,,,,0.032,0.047,,,1407,127,,,0.032,0.047,,,,,-4.965784285,-4.411195433,,,,,0.0,0.0,,
560,16853_4#4,2013.0,Norway,Europe,,,,0.008,0.016,,,4995,559,,,0.008,0.016,,,,,-6.965784285,-5.965784285,,,,,0.0,0.0,,
561,16853_4#40,2013.0,Norway,Europe,,,,0.003,0.016,,,3109,542,,,0.003,0.016,,,,,-8.380821784,-5.965784285,,,,,0.0,0.0,,
562,16853_4#41,2013.0,Norway,Europe,,,,0.002,0.016,,,10795,470,,,0.002,0.016,,,,,-8.965784285,-5.965784285,,,,,0.0,0.0,,
563,16853_4#42,2013.0,Norway,Europe,,,,0.008,0.016,,,10796,471,,,0.008,0.016,,,,,-6.965784285,-5.965784285,,,,,0.0,0.0,,
564,16853_4#43,2013.0,Norway,Europe,,0.38,,0.047,0.094,,,1407,127,0.38,,0.047,0.094,,,-1.395928676,,-4.411195433,-3.411195433,,,0.0,,0.0,0.0,,
565,16853_4#44,2013.0,Norway,Europe,,,,0.004,0.016,,,8006,603,,,0.004,0.016,,,,,-7.965784285,-5.965784285,,,,,0.0,0.0,,
566,16853_4#45,2013.0,Norway,Europe,,,,0.032,0.023,,,10804,476,,,0.032,0.023,,,,,-4.965784285,-5.442222329,,,,,0.0,0.0,,
567,16853_4#46,2013.0,Norway,Europe,,,,0.016,0.016,,,4849,558,,,0.016,0.016,,,,,-5.965784285,-5.965784285,,,,,0.0,0.0,,
568,16853_4#47,2013.0,Norway,Europe,,,,0.006,0.016,,,10806,478,,,0.006,0.016,,,,,-7.380821784,-5.965784285,,,,,0.0,0.0,,
569,16853_4#48,2013.0,Norway,Europe,,,,0.023,0.023,,,10804,476,,,0.023,0.023,,,,,-5.442222329,-5.442222329,,,,,0.0,0.0,,
570,16853_4#49,2013.0,Norway,Europe,,,,0.012,0.016,,,10805,477,,,0.012,0.016,,,,,-6.380821784,-5.965784285,,,,,0.0,0.0,,
571,16853_4#5,2013.0,Norway,Europe,,0.75,,0.047,0.064,,,1407,127,0.75,,0.047,0.064,,,-0.415037499,,-4.411195433,-3.965784285,,,0.0,,0.0,0.0,,
572,16853_4#50,2013.0,Norway,Europe,,,,0.023,0.032,,,1285,521,,,0.023,0.032,,,,,-5.442222329,-4.965784285,,,,,0.0,0.0,,
573,16853_4#51,2013.0,Norway,Europe,,,,0.023,0.016,,,661,582,,,0.023,0.016,,,,,-5.442222329,-5.965784285,,,,,0.0,0.0,,
574,16853_4#52,2013.0,Norway,Europe,,,,0.023,0.032,,,11098,509,,,0.023,0.032,,,,,-5.442222329,-4.965784285,,,,,0.0,0.0,,
575,16853_4#53,2013.0,Norway,Europe,,,,0.016,0.023,,,225,179,,,0.016,0.023,,,,,-5.965784285,-5.442222329,,,,,0.0,0.0,,
576,16853_4#54,2013.0,Norway,Europe,,,,0.047,0.094,,,4822,313,,,0.047,0.094,,,,,-4.411195433,-3.411195433,,,,,0.0,0.0,,
577,16853_4#55,2013.0,Norway,Europe,,0.75,,0.047,0.125,,,4706,555,0.75,,0.047,0.125,,,-0.415037499,,-4.411195433,-3.0,,,0.0,,0.0,0.0,,
578,16853_4#6,2013.0,Norway,Europe,,0.75,,0.047,0.094,,,1407,127,0.75,,0.047,0.094,,,-0.415037499,,-4.411195433,-3.411195433,,,0.0,,0.0,0.0,,
579,16853_4#7,2013.0,Norway,Europe,,1,,0.064,0.125,,,4275,295,1.0,,0.064,0.125,,,0.0,,-3.965784285,-3.0,,,0.0,,0.0,0.0,,
580,16853_4#8,2013.0,Norway,Europe,,,,0.012,0.016,,,10830,479,,,0.012,0.016,,,,,-6.380821784,-5.965784285,,,,,0.0,0.0,,
581,16853_4#9,2013.0,Norway,Europe,,,,0.032,0.032,,,10789,464,,,0.032,0.032,,,,,-4.965784285,-4.965784285,,,,,0.0,0.0,,
582,16933_2#1,2013.0,Slovenia,Europe,,,,0.012,0.016,,,10801,475,,,0.012,0.016,,,,,-6.380821784,-5.965784285,,,,,0.0,0.0,,
583,16933_2#10,2013.0,Slovenia,Europe,,,,0.012,0.016,,,10799,473,,,0.012,0.016,,,,,-6.380821784,-5.965784285,,,,,0.0,0.0,,
584,16933_2#11,2013.0,Slovenia,Europe,,,,0.008,0.016,,,10800,474,,,0.008,0.016,,,,,-6.965784285,-5.965784285,,,,,0.0,0.0,,
585,16933_2#12,2013.0,Slovenia,Europe,,,,0.016,0.016,,,10993,483,,,0.016,0.016,,,,,-5.965784285,-5.965784285,,,,,0.0,0.0,,
586,16933_2#13,2013.0,Hungary,Europe,,,,0.064,0.125,,,3378,543,,,0.064,0.125,,,,,-3.965784285,-3.0,,,,,0.0,0.0,,
587,16933_2#14,2013.0,Hungary,Europe,,0.5,,0.094,0.19,,,3378,543,0.5,,0.094,0.19,,,-1.0,,-3.411195433,-2.395928676,,,0.0,,0.0,0.0,,
588,16933_2#17,2013.0,Hungary,Europe,,,,0.032,0.016,,,225,179,,,0.032,0.016,,,,,-4.965784285,-5.965784285,,,,,0.0,0.0,,
589,16933_2#18,2013.0,Hungary,Europe,,,,0.023,0.047,,,11053,721,,,0.023,0.047,,,,,-5.442222329,-4.411195433,,,,,0.0,0.0,,
590,16933_2#19,2013.0,Hungary,Europe,,,,0.032,0.047,,,2212,177,,,0.032,0.047,,,,,-4.965784285,-4.411195433,,,,,0.0,0.0,,
591,16933_2#2,2013.0,Slovenia,Europe,,,,0.008,0.016,,,10801,475,,,0.008,0.016,,,,,-6.965784285,-5.965784285,,,,,0.0,0.0,,
592,16933_2#20,2013.0,Hungary,Europe,,,,0.047,0.064,,,1407,127,,,0.047,0.064,,,,,-4.411195433,-3.965784285,,,,,0.0,0.0,,
593,16933_2#21,2013.0,Hungary,Europe,,,,0.008,0.016,,,-,1,,,0.008,0.016,,,,,-6.965784285,-5.965784285,,,,,0.0,0.0,,
594,16933_2#22,2013.0,Hungary,Europe,,,,0.032,0.032,,,multiple,655,,,0.032,0.032,,,,,-4.965784285,-4.965784285,,,,,0.0,0.0,,
595,16933_2#25,2013.0,Hungary,Europe,,0.094,0.003,0.002,0.016,,,11052,503,0.094,0.003,0.002,0.016,,,-3.411195433,-8.380821784,-8.965784285,-5.965784285,,,0.0,0.0,0.0,0.0,,
596,16933_2#26,2013.0,Hungary,Europe,,,,0.064,0.064,,,11050,502,,,0.064,0.064,,,,,-3.965784285,-3.965784285,,,,,0.0,0.0,,
597,16933_2#28,2013.0,Hungary,Europe,,,,0.032,0.023,,,8115,607,,,0.032,0.023,,,,,-4.965784285,-5.442222329,,,,,0.0,0.0,,
598,16933_2#29,2013.0,Hungary,Europe,,,,0.016,0.016,,,5333,566,,,0.016,0.016,,,,,-5.965784285,-5.965784285,,,,,0.0,0.0,,
599,16933_2#3,2013.0,Slovenia,Europe,,,,0.006,0.016,,,10800,474,,,0.006,0.016,,,,,-7.380821784,-5.965784285,,,,,0.0,0.0,,
600,16933_2#30,2013.0,Hungary,Europe,,,,0.002,0.016,,,387,271,,,0.002,0.016,,,,,-8.965784285,-5.965784285,,,,,0.0,0.0,,
601,16933_2#31,2013.0,Hungary,Europe,,,,0.016,0.016,,,11077,508,,,0.016,0.016,,,,,-5.965784285,-5.965784285,,,,,0.0,0.0,,
602,16933_2#33,2013.0,Hungary,Europe,,,,0.064,0.094,,,11049,500,,,0.064,0.094,,,,,-3.965784285,-3.411195433,,,,,0.0,0.0,,
603,16933_2#34,2013.0,Hungary,Europe,,,,0.064,0.032,,,11046,497,,,0.064,0.032,,,,,-3.965784285,-4.965784285,,,,,0.0,0.0,,
604,16933_2#35,2013.0,Hungary,Europe,,,,0.064,0.047,,,11046,497,,,0.064,0.047,,,,,-3.965784285,-4.411195433,,,,,0.0,0.0,,
605,16933_2#36,2013.0,Hungary,Europe,,,,0.032,0.023,,,11047,498,,,0.032,0.023,,,,,-4.965784285,-5.442222329,,,,,0.0,0.0,,
606,16933_2#37,2013.0,Hungary,Europe,,,,0.064,0.094,,,11048,499,,,0.064,0.094,,,,,-3.965784285,-3.411195433,,,,,0.0,0.0,,
607,16933_2#38,2013.0,Hungary,Europe,,,,0.012,0.016,,,995,650,,,0.012,0.016,,,,,-6.380821784,-5.965784285,,,,,0.0,0.0,,
608,16933_2#39,2013.0,Hungary,Europe,,,,0.094,0.125,,,1407,127,,,0.094,0.125,,,,,-3.411195433,-3.0,,,,,0.0,0.0,,
609,16933_2#4,2013.0,Slovenia,Europe,,,,0.032,0.064,,,8695,627,,,0.032,0.064,,,,,-4.965784285,-3.965784285,,,,,0.0,0.0,,
610,16933_2#41,2013.0,Hungary,Europe,,,,0.016,0.016,,,995,650,,,0.016,0.016,,,,,-5.965784285,-5.965784285,,,,,0.0,0.0,,
611,16933_2#42,2013.0,Hungary,Europe,,,,0.047,0.094,,,2212,177,,,0.047,0.094,,,,,-4.411195433,-3.411195433,,,,,0.0,0.0,,
612,16933_2#43,2013.0,Hungary,Europe,,,,0.002,0.016,,,387,271,,,0.002,0.016,,,,,-8.965784285,-5.965784285,,,,,0.0,0.0,,
613,16933_2#44,2013.0,Hungary,Europe,,,,0.032,0.064,,,1407,127,,,0.032,0.064,,,,,-4.965784285,-3.965784285,,,,,0.0,0.0,,
614,16933_2#45,2013.0,Hungary,Europe,,,,0.016,0.047,,,1407,127,,,0.016,0.047,,,,,-5.965784285,-4.411195433,,,,,0.0,0.0,,
615,16933_2#46,2013.0,Hungary,Europe,,0.5,,0.064,0.125,,,1407,127,0.5,,0.064,0.125,,,-1.0,,-3.965784285,-3.0,,,0.0,,0.0,0.0,,
616,16933_2#47,2013.0,Hungary,Europe,,,,0.032,0.023,,,11047,498,,,0.032,0.023,,,,,-4.965784285,-5.442222329,,,,,0.0,0.0,,
617,16933_2#48,2013.0,Hungary,Europe,,,,0.008,0.016,,,995,650,,,0.008,0.016,,,,,-6.965784285,-5.965784285,,,,,0.0,0.0,,
618,16933_2#49,2013.0,Hungary,Europe,,,,0.094,0.125,,,1407,127,,,0.094,0.125,,,,,-3.411195433,-3.0,,,,,0.0,0.0,,
619,16933_2#5,2013.0,Slovenia,Europe,,,,0.012,0.023,,,10800,474,,,0.012,0.023,,,,,-6.380821784,-5.442222329,,,,,0.0,0.0,,
620,16933_2#50,2013.0,Hungary,Europe,,,,0.047,0.064,,,1407,127,,,0.047,0.064,,,,,-4.411195433,-3.965784285,,,,,0.0,0.0,,
621,16933_2#51,2013.0,Hungary,Europe,,,,0.064,0.047,,,11046,497,,,0.064,0.047,,,,,-3.965784285,-4.411195433,,,,,0.0,0.0,,
622,16933_2#52,2013.0,Hungary,Europe,,,,0.094,0.19,,,1407,127,,,0.094,0.19,,,,,-3.411195433,-2.395928676,,,,,0.0,0.0,,
623,16933_2#53,2013.0,Hungary,Europe,,,,0.012,0.016,,,995,650,,,0.012,0.016,,,,,-6.380821784,-5.965784285,,,,,0.0,0.0,,
624,16933_2#54,2013.0,Hungary,Europe,,,,0.032,0.023,,,5333,566,,,0.032,0.023,,,,,-4.965784285,-5.442222329,,,,,0.0,0.0,,
625,16933_2#55,2013.0,Slovakia,Europe,,,,0.032,0.064,,,4275,295,,,0.032,0.064,,,,,-4.965784285,-3.965784285,,,,,0.0,0.0,,
626,16933_2#56,2013.0,Slovakia,Europe,,,0.003,0.012,0.023,,,11042,493,,0.003,0.012,0.023,,,,-8.380821784,-6.380821784,-5.442222329,,,,0.0,0.0,0.0,,
627,16933_2#58,2013.0,Slovakia,Europe,,0.25,,0.047,0.094,,,1407,127,0.25,,0.047,0.094,,,-2.0,,-4.411195433,-3.411195433,,,0.0,,0.0,0.0,,
628,16933_2#59,2013.0,Slovakia,Europe,,,,0.006,0.016,,,2992,206,,,0.006,0.016,,,,,-7.380821784,-5.965784285,,,,,0.0,0.0,,
629,16933_2#6,2013.0,Slovakia,Europe,,,,0.032,0.064,,,1407,127,,,0.032,0.064,,,,,-4.965784285,-3.965784285,,,,,0.0,0.0,,
630,16933_2#60,2013.0,Slovakia,Europe,,,0.003,0.008,0.016,,,10800,474,,0.003,0.008,0.016,,,,-8.380821784,-6.965784285,-5.965784285,,,,0.0,0.0,0.0,,
631,16933_2#61,2013.0,Hungary,Europe,,,,0.012,0.016,,,11045,496,,,0.012,0.016,,,,,-6.380821784,-5.965784285,,,,,0.0,0.0,,
632,16933_2#62,2013.0,Hungary,Europe,,,,0.002,0.016,,,13113,523,,,0.002,0.016,,,,,-8.965784285,-5.965784285,,,,,0.0,0.0,,
633,16933_2#65,2013.0,Slovakia,Europe,,,,0.012,0.016,,,11042,493,,,0.012,0.016,,,,,-6.380821784,-5.965784285,,,,,0.0,0.0,,
634,16933_2#66,2013.0,Slovakia,Europe,,,,0.006,0.016,,,2992,206,,,0.006,0.016,,,,,-7.380821784,-5.965784285,,,,,0.0,0.0,,
635,16933_2#67,2013.0,Slovakia,Europe,,,,0.008,0.016,,,10800,474,,,0.008,0.016,,,,,-6.965784285,-5.965784285,,,,,0.0,0.0,,
636,16933_2#69,2013.0,Slovakia,Europe,,,,0.008,0.016,,,807,412,,,0.008,0.016,,,,,-6.965784285,-5.965784285,,,,,0.0,0.0,,
637,16933_2#7,2013.0,Hungary,Europe,,,,0.012,0.016,,,4995,559,,,0.012,0.016,,,,,-6.380821784,-5.965784285,,,,,0.0,0.0,,
638,16933_2#70,2013.0,Slovakia,Europe,,,,0.008,0.016,,,11042,493,,,0.008,0.016,,,,,-6.965784285,-5.965784285,,,,,0.0,0.0,,
639,16933_2#71,2013.0,Slovenia,Europe,,,,0.006,0.016,,,8908,629,,,0.006,0.016,,,,,-7.380821784,-5.965784285,,,,,0.0,0.0,,
640,16933_2#72,2013.0,Slovenia,Europe,,,,0.006,0.016,,,multiple,655,,,0.006,0.016,,,,,-7.380821784,-5.965784285,,,,,0.0,0.0,,
641,16933_2#73,2013.0,Slovenia,Europe,,,,0.023,0.016,,,10799,473,,,0.023,0.016,,,,,-5.442222329,-5.965784285,,,,,0.0,0.0,,
642,16933_2#74,2013.0,Slovenia,Europe,,,,0.006,0.016,,,356,241,,,0.006,0.016,,,,,-7.380821784,-5.965784285,,,,,0.0,0.0,,
643,16933_2#75,2013.0,Slovenia,Europe,,,,0.004,0.016,,,356,241,,,0.004,0.016,,,,,-7.965784285,-5.965784285,,,,,0.0,0.0,,
644,16933_2#76,2013.0,Slovenia,Europe,,,,0.023,0.016,,,10799,473,,,0.023,0.016,,,,,-5.442222329,-5.965784285,,,,,0.0,0.0,,
645,16933_2#77,2013.0,Slovenia,Europe,,,,0.012,0.016,,,10800,474,,,0.012,0.016,,,,,-6.380821784,-5.965784285,,,,,0.0,0.0,,
646,16933_2#78,2013.0,Slovenia,Europe,,,,0.016,0.016,,,2997,207,,,0.016,0.016,,,,,-5.965784285,-5.965784285,,,,,0.0,0.0,,
647,16933_2#79,2013.0,Slovenia,Europe,,,,0.023,0.016,,,21,171,,,0.023,0.016,,,,,-5.442222329,-5.965784285,,,,,0.0,0.0,,
648,16933_2#80,2013.0,Slovenia,Europe,,,,0.016,0.016,,,2997,207,,,0.016,0.016,,,,,-5.965784285,-5.965784285,,,,,0.0,0.0,,
649,16933_2#81,2013.0,Slovenia,Europe,,,,0.008,0.016,,,2992,206,,,0.008,0.016,,,,,-6.965784285,-5.965784285,,,,,0.0,0.0,,
650,16933_2#82,2013.0,Slovenia,Europe,,,,0.023,0.016,,,225,179,,,0.023,0.016,,,,,-5.442222329,-5.965784285,,,,,0.0,0.0,,
651,16933_2#83,2013.0,Slovenia,Europe,,,,0.004,0.016,,,10798,472,,,0.004,0.016,,,,,-7.965784285,-5.965784285,,,,,0.0,0.0,,
652,16933_2#84,2013.0,Slovenia,Europe,,,,0.008,0.016,,,2997,207,,,0.008,0.016,,,,,-6.965784285,-5.965784285,,,,,0.0,0.0,,
653,16933_2#85,2013.0,The Netherlands,Europe,,0.016,0.003,0.004,0.016,,,21,171,0.016,0.003,0.004,0.016,,,-5.965784285,-8.380821784,-7.965784285,-5.965784285,,,0.0,0.0,0.0,0.0,,
654,16933_2#86,2013.0,The Netherlands,Europe,,0.25,0.003,0.003,0.016,,,2992,206,0.25,0.003,0.003,0.016,,,-2.0,-8.380821784,-8.380821784,-5.965784285,,,0.0,0.0,0.0,0.0,,
655,16933_2#87,2013.0,The Netherlands,Europe,,0.016,0.002,0.002,0.016,,,2992,206,0.016,0.002,0.002,0.016,,,-5.965784285,-8.965784285,-8.965784285,-5.965784285,,,0.0,0.0,0.0,0.0,,
656,16933_2#88,2013.0,The Netherlands,Europe,,0.125,32,0.032,0.023,,,2400,186,0.125,32.0,0.032,0.023,,,-3.0,5.0,-4.965784285,-5.442222329,,,0.0,1.0,0.0,0.0,,
657,16933_2#89,2013.0,The Netherlands,Europe,,0.38,0.012,0.016,0.016,,,21,171,0.38,0.012,0.016,0.016,,,-1.395928676,-6.380821784,-5.965784285,-5.965784285,,,0.0,0.0,0.0,0.0,,
658,16933_2#9,2013.0,Slovenia,Europe,,,,0.023,0.016,,,10799,473,,,0.023,0.016,,,,,-5.442222329,-5.965784285,,,,,0.0,0.0,,
659,16933_2#90,2013.0,The Netherlands,Europe,,0.023,0.003,0.006,0.016,,,51,563,0.023,0.003,0.006,0.016,,,-5.442222329,-8.380821784,-7.380821784,-5.965784285,,,0.0,0.0,0.0,0.0,,
660,16933_2#91,2013.0,The Netherlands,Europe,,0.064,4,0.032,0.023,,,2400,186,0.064,4.0,0.032,0.023,,,-3.965784285,2.0,-4.965784285,-5.442222329,,,0.0,1.0,0.0,0.0,,
661,16933_2#92,2013.0,The Netherlands,Europe,,0.19,3,0.006,0.016,,,4995,559,0.19,3.0,0.006,0.016,,,-2.395928676,1.584962501,-7.380821784,-5.965784285,,,0.0,1.0,0.0,0.0,,
662,16933_2#93,2013.0,The Netherlands,Europe,,0.125,1.5,0.006,0.016,,,5624,339,0.125,1.5,0.006,0.016,,,-3.0,0.584962501,-7.380821784,-5.965784285,,,0.0,1.0,0.0,0.0,,
663,16933_3#1,2013.0,Belgium,Europe,,0.125,1,0.008,0.015,,,9276,638,0.125,1.0,0.008,0.015,,,-3.0,0.0,-6.965784285,-6.058893689,,,0.0,0.0,0.0,0.0,,
664,16933_3#10,2013.0,Belgium,Europe,,0.5,16,0.125,0.25,,,1407,127,0.5,16.0,0.125,0.25,,,-1.0,4.0,-3.0,-2.0,,,0.0,1.0,0.0,0.0,,
