X	Y	Z
3.0665314	-2.6849573	-4.5687466
-14.5696535	-1.6526605	5.2982693
1.0316998	-16.712585	3.644809
-14.661806	-1.7274127	5.301002
-13.650189	-1.2111751	3.1546364
-2.991785	3.3065863	6.44394
0.9491272	10.543792	-13.518872
-2.8956392	3.9538002	6.275095
1.2565632	10.380394	-13.590423
-1.4946588	-15.8167305	0.74704075
-10.050081	0.7894232	-2.7865431
-3.6313486	4.3338375	6.892529
3.9019203	-2.7225783	-0.5486397
-3.248161	3.4441895	6.281795
-1.9350432	2.7057955	6.9542775
3.3478487	-2.6438925	-4.1348686
-2.579763	-14.500426	-0.24048994
-2.1920364	3.9285388	6.8005314
-0.37348798	10.049486	2.2441425
-3.1506004	-2.8153217	10.813102
1.799637	-16.190638	4.4073052
1.2565632	10.380394	-13.590423
-14.738025	-3.3921342	6.010138
-2.5017517	6.099531	9.691918
-2.229704	3.9894142	6.727229
-4.0110393	-9.528034	-2.0943582
-3.980953	3.9470894	6.869465
-9.65702	3.2707725	-0.7489194
-3.980953	3.9470894	6.869465
3.3081892	-2.384678	-4.6218534
-3.421155	4.004926	7.1172476
0.065910354	10.075521	2.4206285
-3.391915	4.0118194	7.1797886
-4.5083933	4.1042075	7.445377
-2.686716	3.7377882	7.5091214
1.0102164	10.140203	-13.023446
-13.646056	-1.1048677	2.9252396
0.81476665	10.42828	-13.256199
-3.4874425	-2.0983112	9.930244
0.065747865	10.075085	2.4204774
-3.4874425	-2.0983112	9.930244
-1.4623967	-15.806658	0.72564983
-4.274288	-2.1421242	10.250825
-1.4619982	-15.806034	0.72568995
-3.1469033	3.518077	6.2492337
-9.658554	3.2782423	-0.7437649
-4.253408	-2.3578086	10.221788
1.1738925	10.4563465	-13.596978
-3.2404318	-2.957415	10.872829
-0.38643327	10.254124	2.3692684
-14.4099655	-1.5573295	5.362508
2.5537376	1.0196433	-11.010723
-14.148557	-1.52648	5.243343
-9.979339	1.3311225	-3.1952815
-2.2485402	3.372066	6.823745
2.4425805	2.3837116	-12.050623
-14.538308	-2.1501176	5.017742
-2.194105	6.763589	7.045336
4.980401	-2.5699108	4.810347
10.017775	3.6164782	6.40787
-3.4338675	3.5278916	7.24962
-0.60576135	9.363981	3.4495492
5.237124	-2.2802489	4.6246195
1.7246873	-16.63102	3.4051802
-2.1433334	3.513269	6.820705
13.324047	2.3845649	-0.1075842
-1.4707464	3.9373739	7.5117016
-1.4556853	-15.799222	0.72461
-3.1981866	6.2019653	8.819302
-3.3491268	5.799103	9.285624
5.237124	-2.2802489	4.6246195
4.0873218	-2.675312	0.73464704
2.5410893	1.3454645	-11.347554
0.7526359	13.926694	-3.5485811
-2.991785	3.3065863	6.44394
-3.3487244	5.8259587	9.185427
-9.617188	1.1356894	-2.6855829
-4.210903	-9.740041	-2.5564182
-9.617772	1.1347352	-2.6856248
-4.2097726	-9.7385235	-2.5543604
-9.576565	1.0799414	-2.6655722
7.9147825	0.73107195	8.0294
-9.619164	1.1657804	-2.4820032
1.2565632	10.380394	-13.590423
-9.576565	1.0799414	-2.6655722
-9.544004	3.6362088	-0.43362704
-13.16615	-0.995801	2.3665202
-4.316084	3.2966235	7.297357
1.0846719	6.7369885	-13.730527
-15.519852	-1.90991	-2.978224
1.0581856	6.732745	-13.765779
-3.7049625	-12.139028	-1.1776285
1.0540724	6.726372	-13.755337
3.50928	-2.7184763	-3.1315837
1.2450356	6.79664	-13.637839
